강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
PLC Programming in Siemens TIA Portal,https://www.udemy.com/course/plc-programming-in-siemens-tia/,Seyed Parvini,4.5252647,224,882,36,5.5시간
Servo Motion Mastery   (PLC Programming),https://www.udemy.com/course/servo-motion-mastery/,Shane Welcher,4.5286245,223,844,47,13시간
Raspberry Pi Essentials: Learn More in Less Time,https://www.udemy.com/course/raspberry-pi-essentials/,Umesh Lokhande,4.675543,224,1628,35,4.5시간
Embedded Systems Using Cypress Programmable System on Chip,https://www.udemy.com/course/embedded-system-design-using-cypsoc4/,"Eduvance (Microchip Certified Trainer, AUP Trainer, CUA Trainer)",3.701518,218,6349,14,4시간
Introduction to SystemVerilog Functional Coverage Language,https://www.udemy.com/course/systemverilog-functional-coverage/,Ashok B. Mehta,4.3467884,213,4234,14,3시간
"Computer Hardware, Operating System and Networking",https://www.udemy.com/course/computer-hardware-operating-system-and-networking-r/,"ILANCHEZHIAN K / 57,024+ Students Technical Consultant",3.9955702,213,17955,43,20시간
The Complete Beginners Guide to The Arduino - 2021,https://www.udemy.com/course/the-complete-beginners-guide-to-the-arduino/,Mike McRoberts,4.7304163,212,5604,52,16시간
Arduino Programming for Absolute Beginners,https://www.udemy.com/course/arduino-programming-for-absolute-beginners/,Sujithkumar MA,4.4638944,210,20821,50,4.5시간
Embedded Systems with 8051 Micro Controller using Embedded C,https://www.udemy.com/course/embedded-systems-with-8051-micro-controller/,Amit Rana,4.5901437,209,2510,37,5시간
Mastering STM32CubeMX 5 and CubeIDE - Embedded Systems,https://www.udemy.com/course/stm32cubemx-5-and-cubeide/,BHM Engineering Academy,4.3324995,207,1564,45,10시간
Designing PCB using Autodesk Eagle for Everyone!,https://www.udemy.com/course/designing-pcb-using-autodesk-eagle-for-beginners/,Mohannad Rawashdeh,4.6531057,207,977,74,7.5시간
VSD - RISCV : Instruction Set Architecture (ISA) - Part 1a,https://www.udemy.com/course/vsd-riscv-instruction-set-architecture-isa-part-1a/,Kunal Ghosh,4.028246,203,1240,21,2.5시간
"High-Level Synthesis for FPGA, Part 1-Combinational Circuits",https://www.udemy.com/course/hls-combinational-circuits/,Mohammad Hosseinbady,4.7053123,199,1190,110,8시간
Practical Image Processing in C/C ++ From Ground Up™,https://www.udemy.com/course/image-processing-from-ground-uptm/,Israel Gbati,4.400699,196,1421,62,7.5시간
EE1C01 - Electronics Engineering Bootcamp,https://www.udemy.com/course/ee1c01-electronics-engineering-bootcamp/,Moe Salih,4.3549566,193,2192,64,1시간
Arduino meets Python: Step by Step,https://www.udemy.com/course/arduino-python-control-py-code-arduino-using-python-pip/,Educational Engineering Team,4.0367813,193,44680,10,1시간
Learn PCB Printed Circuit Board: A Complete Bundle,https://www.udemy.com/course/pcb-bundle-circuit-design-printed-circuit-board-proteus-orcade-altuim/,Educational Engineering Team,4.052733,191,20973,65,7시간
PIC Microcontroller Step by Step: Your complete guide,https://www.udemy.com/course/master-pic-microcontroller-using-mikroc-protuesprofessional/,Educational Engineering Team,3.81021,189,6244,90,31.5시간
MicroPython with the ESP32,https://www.udemy.com/course/micropython-with-the-esp32/,Dr. Peter Dalmaris,4.557029,187,1679,87,10.5시간
CompTIA A+ Certification Preparation: Learn the Basics of IT,https://www.udemy.com/course/comptia-aplus-certification-prep/,CyberTraining 365,4.4520354,185,5719,101,11시간
Pic Microcontroller and Pcb designing step by step,https://www.udemy.com/course/basic-microcontroller-arduino-and-pcb-design-course/,Mahmoud Mansour,4.1788716,184,6900,58,6시간
Automation with Raspberry Pi Zero,https://www.udemy.com/course/automation-with-raspberry-pi-zero/,Venkatesh Varadachari,4.4348874,184,1063,28,44분
PLC from zero to Hero (TIA Portal / SIMATIC STEP 7 /ITS PLC),https://www.udemy.com/course/learn-plc-from-zero-to-hero-tia-portal-and-simatic-step7/,NewWay Academy,4.6121993,183,1019,43,10.5시간
"Circuit Design, Simulation and PCB Fabrication Bundle",https://www.udemy.com/course/circuit-design-simulation-and-pcb-manufacturing-bundle/,Educational Engineering Team,3.8114076,181,23718,170,16.5시간
Arduino Robotics with the mBot,https://www.udemy.com/course/arduino-robotics-with-the-mbot/,Dr. Peter Dalmaris,4.8887343,178,1537,39,5시간
